ts_utc,datetime_utc,currency,impact,event
1704963600,2024-01-11 09:00,EUR,medium,Economic Bulletin
1704979800,2024-01-11 13:30,USD,high,Consumer Price Index (MoM)
1704979800,2024-01-11 13:30,USD,high,Consumer Price Index (YoY)
1704979800,2024-01-11 13:30,USD,high,Consumer Price Index ex Food & Energy (MoM)
1704979800,2024-01-11 13:30,USD,high,Consumer Price Index ex Food & Energy (YoY)
1704979800,2024-01-11 13:30,USD,medium,Initial Jobless Claims
1704999600,2024-01-11 19:00,USD,medium,Monthly Budget Statement
1705017000,2024-01-11 23:50,JPY,medium,Current Account n.s.a.
1705042800,2024-01-12 07:00,GBP,medium,Gross Domestic Product (MoM)
1705042800,2024-01-12 07:00,GBP,medium,Industrial Production (MoM)
1705042800,2024-01-12 07:00,GBP,medium,Manufacturing Production (MoM)
1705042800,2024-01-12 07:00,GBP,medium,Manufacturing Production (YoY)
1705045500,2024-01-12 07:45,EUR,medium,Consumer Price Index (EU norm) (YoY)
1705046400,2024-01-12 08:00,EUR,medium,Harmonized Index of Consumer Prices (YoY)
1705062600,2024-01-12 12:30,EUR,medium,ECB's Lane speech
1705066200,2024-01-12 13:30,USD,medium,Producer Price Index (MoM)
1705066200,2024-01-12 13:30,USD,medium,Producer Price Index (YoY)
1705066200,2024-01-12 13:30,USD,medium,Producer Price Index ex Food & Energy (MoM)
1705066200,2024-01-12 13:30,USD,high,Producer Price Index ex Food & Energy (YoY)
1705071600,2024-01-12 15:00,USD,medium,Fed's Kashkari speech
1705273200,2024-01-14 23:00,CHF,medium,World Economic Forum - Davos
1705277400,2024-01-15 00:10,AUD,medium,TD-MI Inflation Gauge (YoY)
1705312800,2024-01-15 10:00,EUR,medium,Industrial Production s.a. (MoM)
1705332600,2024-01-15 15:30,CAD,medium,Bank of Canada Business Outlook Survey
1705352400,2024-01-15 21:00,NZD,medium,NZIER Business Confidence (QoQ)
1705359600,2024-01-15 23:00,CHF,medium,World Economic Forum - Davos
1705361400,2024-01-15 23:30,AUD,medium,Westpac Consumer Confidence
1705388400,2024-01-16 07:00,EUR,medium,Harmonized Index of Consumer Prices (MoM)
1705388400,2024-01-16 07:00,EUR,high,Harmonized Index of Consumer Prices (YoY)
1705388400,2024-01-16 07:00,EUR,medium,EcoFin Meeting
1705388400,2024-01-16 07:00,GBP,medium,Average Earnings Excluding Bonus (3Mo/Yr)
1705388400,2024-01-16 07:00,GBP,medium,Average Earnings Including Bonus (3Mo/Yr)
1705388400,2024-01-16 07:00,GBP,high,Claimant Count Change
1705388400,2024-01-16 07:00,GBP,medium,Claimant Count Rate
1705388400,2024-01-16 07:00,GBP,high,Employment Change (3M)
1705388400,2024-01-16 07:00,GBP,high,ILO Unemployment Rate (3M)
1705395600,2024-01-16 09:00,EUR,medium,Consumer Price Index (EU Norm) (YoY)
1705395600,2024-01-16 09:00,EUR,medium,Consumer Price Index (YoY)
1705399200,2024-01-16 10:00,EUR,medium,ZEW Survey – Current Situation
1705399200,2024-01-16 10:00,EUR,medium,ZEW Survey – Economic Sentiment
1705399200,2024-01-16 10:00,EUR,medium,ZEW Survey – Economic Sentiment
1705403400,2024-01-16 11:10,EUR,medium,ECB's Nagel speech
1705411800,2024-01-16 13:30,CAD,medium,BoC Consumer Price Index Core (MoM)
